번호,시군구명,동명,리명,도로명,교차로명,위도,경도
334,사상구,삼락동,,낙동대로 1422,,35.18720465,128.9772272
335,사상구,삼락동,,낙동대로 1422,,35.18723657,128.9772455
336,사상구,삼락동,,모덕로27번길 50,,35.18719347,128.9770147
337,사상구,삼락동,,낙동대로 1422,,35.18709325,128.9771981
338,사상구,삼락동,,낙동대로 1422,,35.18711863,128.9772120
339,사상구,삼락동,,모덕로27번길 50,,35.18715556,128.9770368
340,사상구,삼락동,,낙동대로 1420,,35.18711765,128.9770575
341,사상구,삼락동,,낙동대로 1420,,35.18701132,128.9770637
342,사상구,삼락동,,낙동대로 1420,,35.18695530,128.9770734
343,사상구,삼락동,,낙동대로 1420,,35.18690040,128.9770830
344,사상구,모라동,,사상로558번길 26-25,,35.19361890,128.9930983
345,사상구,모라동,,사상로558번길 26-25,,35.19357716,128.9931110
346,사상구,모라동,,사상로558번길 26-25,,35.19353933,128.9931312
347,사상구,모라동,,백양대로 937,,35.18928385,128.9913021
348,사상구,모라동,,백양대로 945,,35.18988872,128.9916367
349,사상구,모라동,,백양대로 945,,35.18992197,128.9916128
350,사상구,모라동,,백양대로 945,,35.18995855,128.9915911
351,사상구,모라동,,백양대로 939,,35.18936824,128.9912646
352,사상구,모라동,,백양대로 937,,35.18933238,128.9912833
353,사상구,모라동,,백양대로 879,모덕초교,35.18406176,128.9902221
354,사상구,모라동,,백양대로 879,모덕초교,35.18401750,128.9902160
355,사상구,모라동,,백양대로 879,모덕초교,35.18397825,128.9902109
356,사상구,덕포동,,삼덕로99번길 20,,35.17917961,128.9885492
357,사상구,덕포동,,삼덕로99번길 20,,35.17914409,128.9885804
358,사상구,덕포동,,삼덕로99번길 20,,35.17911259,128.9886161
359,사상구,덕포동,,삼덕로99번길 20,,35.17851323,128.9884406
360,사상구,덕포동,,삼덕로99번길 20,,35.17848273,128.9884724
361,사상구,덕포동,,삼덕로99번길 20,,35.17844679,128.9885038
362,사상구,주례동,,백양대로 471,,35.15289051,129.0006072
363,사상구,주례동,,백양대로 471,,35.15289255,129.0005730
364,사상구,주례동,,백양대로 471,,35.15286088,129.0005427
365,사상구,주례동,,백양대로 471,,35.15286292,129.0005084
366,사상구,주례동,,백양대로 471,,35.15283804,129.0004813
367,사상구,주례동,,백양대로 471,,35.15284008,129.0004470
368,사상구,주례동,,백양대로494번길 12,,35.15273871,129.0002066
369,사상구,주례동,,백양대로494번길 12,,35.15273758,129.0002427
370,사상구,주례동,,백양대로494번길 12,,35.15276594,129.0002725
371,사상구,주례동,,백양대로494번길 12,,35.15276481,129.0003085
372,사상구,주례동,,백양대로494번길 12,,35.15279332,129.0003417
373,사상구,주례동,,백양대로494번길 12,,35.15279219,129.0003778
374,사상구,주례동,,백양대로433번길 16,주감초교,35.15259592,129.0038141
375,사상구,주례동,,백양대로 429-6,주감초교,35.15259225,129.0038646
376,사상구,주례동,,,주감초교,35.15265790,129.0024782
377,사상구,주례동,,,주감초교,35.15265746,129.0025123
378,사상구,주례동,,,주감초교,35.15268350,129.0025432
379,사상구,주례동,,,주감초교,35.15268306,129.0025773
380,사상구,주례동,,,주감초교,35.15270571,129.0026107
381,사상구,주례동,,,주감초교,35.15270527,129.0026448
382,사상구,주례동,,백양대로437번길 4,주감초교,35.15274267,129.0030069
383,사상구,주례동,,백양대로 453,주감초교,35.15274526,129.0029733
