구분,노선명,시점,종점,폭(m),길이(m)
길,동제당로191번길,부산광역시 남구 대연동 1618-264 일원,부산광역시 남구 대연동 산37-1 일원,5,876
길,동제당로359번길,부산광역시 남구 우암동 136-8 일원,부산광역시 남구 우암동 118-112 일원,3,310
길,동제당로39번길,부산광역시 남구 문현동 318-6 일원,부산광역시 남구 대연동 335-1 일원,4,335
길,동항로102번길,부산광역시 남구 우암동 194-70 일원,부산광역시 남구 우암동 194-113 일원,3,137
길,동항로106번가길,부산광역시 남구 우암동 127-128 일원,부산광역시 남구 우암동 127-6 일원,1,130
길,동항로106번길,부산광역시 남구 우암동 124-21 일원,부산광역시 남구 우암동 127-142 일원,3,187
길,동항로27번길,부산광역시 남구 우암동 189-1578 일원,부산광역시 남구 우암동 189-1532 일원,2,148
길,동항로29번길,부산광역시 남구 문현동 1219 일원,부산광역시 남구 우암동 189-1578 일원,2,128
길,동항로37번길,부산광역시 남구 우암동 189-1481 일원,부산광역시 남구 우암동 189-284 일원,2,114
길,동항로63번길,부산광역시 남구 우암동 189-1996 일원,부산광역시 남구 문현동 1178-1 일원,3,218
길,동항로71번길,부산광역시 남구 우암동 190-6 일원,부산광역시 남구 우암동 189-2009 일원,2,185
길,동항로75번길,부산광역시 남구 우암동 189-1683 일원,부산광역시 남구 우암동 189-1813 일원,2,224
길,못골로12번길,부산광역시 남구 대연동 1767-14 일원,부산광역시 남구 대연동 1769-8 일원,6,460
길,못골로41번길,부산광역시 남구 대연동 1281-32 일원,부산광역시 남구 대연동 1535-12 일원,12,256
길,못골로53번길,부산광역시 남구 대연동 1283-43 일원,부산광역시 남구 대연동 1462-5 일원,4,263
길,못골로69번길,부산광역시 남구 대연동 1415-14 일원,부산광역시 남구 대연동 1443-3 일원,3,203
길,못골번영로39번길,부산광역시 남구 대연동 1509-1 일원,부산광역시 남구 대연동 1509-9 일원,6,128
길,못골번영로40번길,부산광역시 남구 대연동 1463-15 일원,부산광역시 남구 대연동 286-1 일원,6,325
길,못골번영로46번길,부산광역시 남구 대연동 1466-1 일원,부산광역시 남구 대연동 284-1 일원,6,328
길,못골번영로49번길,부산광역시 남구 대연동1505-1 일원,부산광역시 남구 대연동1506-1 일원,6,127
길,못골번영로50번길,부산광역시 남구 대연동 1467-16 일원,부산광역시 남구 대연동 1472-1 일원,6,223
길,못골번영로56번길,부산광역시 남구 대연동 1475-15 일원,부산광역시 남구 대연동 1473-1 일원,6,222
길,못골번영로59번길,부산광역시 남구 대연동 1504-1 일원,부산광역시 남구 대연동 1503-8 일원,7,123
길,못골번영로60번길,부산광역시 남구 대연동 1479-10 일원,부산광역시 남구 대연동 1480-1 일원,8,223
길,못골번영로66번길,부산광역시 남구 대연동 1482-9 일원,부산광역시 남구 대연동 산50 일원,6,369
길,못골번영로71번길,부산광역시 남구 대연동 1500-12 일원,부산광역시 남구 대연동 1552외5 일원,8,374
길,못골번영로72번가길,부산광역시 남구 대연동 1490-28 일원,부산광역시 남구 대연동 1492-59 일원,6,248
길,못골번영로72번길,부산광역시 남구 대연동 1483-9 일원,부산광역시 남구 대연동 1487-1 일원,8,222
