번호,시군구명,동명,리명,도로명,교차로명,경도,위도
397,북구,구포동,,,삼진섬유,128.9901589,35.19361787
398,북구,구포동,,,삼진섬유,128.9902060,35.19396719
399,사상구,모라동,,,,128.9897616,35.19235829
400,사상구,모라동,,,,128.9897770,35.19229078
401,사상구,모라동,,,평화가스삼거리,128.9894526,35.19133498
402,사상구,모라동,,,평화가스삼거리,128.9895866,35.19184099
403,사상구,모라동,,,평화가스삼거리,128.9896399,35.19187498
404,사상구,모라동,,,,128.9873638,35.18697130
405,사상구,모라동,,,,128.9875817,35.18761455
406,사상구,모라동,,,,128.9876165,35.18759803
407,사상구,모라동,,,모라초등학교,128.9877623,35.18798784
